timestamp,interval(s),volt_0,volt_1,volt_2,volt_3,volt_4,volt_5,volt_6,volt_7,volt_8,volt_9,volt_10,volt_11
2020-06-02 14:25:57.370906,0.1092,0.1095,0.0235,0.2893,0.0635,0.3284,0.1769,0.0,0.1701,0.2356,0.3695,0.3861,0.4956
2020-06-02 14:25:57.464506,0.2028,0.3079,0.2346,0.3949,0.1036,0.3382,0.0596,0.0,0.1808,0.2757,0.346,0.3685,0.477
2020-06-02 14:25:57.573706,0.312,0.3245,0.259,0.4135,0.1632,0.3382,0.0596,0.0,0.1808,0.2757,0.346,0.3685,0.477
2020-06-02 14:25:57.667306,0.4056,0.304,0.262,0.4262,0.2023,0.3656,0.1848,0.0,0.1486,0.217,0.2874,0.3509,0.4487
2020-06-02 14:25:57.776506,0.5148,0.3548,0.3128,0.4282,0.1877,0.4497,0.4545,0.0,0.0587,0.0909,0.1975,0.2991,0.4086
2020-06-02 14:25:57.870106,0.6084,0.3431,0.3089,0.433,0.1994,0.4497,0.4545,0.0,0.0587,0.0909,0.1975,0.2991,0.4086
2020-06-02 14:25:57.963706,0.702,0.0459,0.1144,0.4184,0.2972,0.4438,0.4585,0.0,0.0,0.0978,0.2278,0.3099,0.4194
2020-06-02 14:25:58.072906,0.8112,0.1349,0.1457,0.3705,0.172,0.4057,0.3695,0.0,0.1574,0.1652,0.2483,0.3402,0.4379
2020-06-02 14:25:58.166506,0.9048,0.1359,0.1447,0.3597,0.172,0.4057,0.3695,0.0,0.1574,0.1652,0.2483,0.3402,0.4379
2020-06-02 14:25:58.275706,1.014,0.2043,0.1574,0.349,0.0626,0.39,0.3421,0.0,0.1916,0.1994,0.2561,0.3636,0.4692
2020-06-02 14:25:58.369306,1.1076,0.1505,0.1427,0.3754,0.0762,0.3431,0.1241,0.0,0.2385,0.2493,0.3157,0.3861,0.4907
2020-06-02 14:25:58.462906,1.2012,0.1329,0.1398,0.3754,0.0762,0.3431,0.1241,0.0,0.2385,0.2493,0.3157,0.3861,0.4907
2020-06-02 14:25:58.572106,1.3104,0.174,0.1505,0.3851,0.1124,0.3372,0.0987,0.0,0.2444,0.219,0.3021,0.3587,0.4624
2020-06-02 14:25:58.665706,1.404,0.2063,0.1769,0.3851,0.1124,0.3372,0.0987,0.0,0.2444,0.219,0.3021,0.3587,0.4653
